Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
LITTLE INDIA CONSERVATION AREA,DESKER ROAD,Shop House,"7,930,000","1,060.25","7,479",Dec-24,Land,98.5,"80,508",Freehold,08,-
N.A.,JOO CHIAT ROAD,Shop House,"6,750,000","1,670.57","4,041",Dec-24,Land,155.2,"43,492",Freehold,15,-
EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,Shop House,"10,000,000","1,552.17","6,443",Dec-24,Land,144.2,"69,348",Freehold,09,-
ZAMAN CENTRE,ROBERTS LANE,Shop House,"15,250,000","2,985.93","5,107",Dec-24,Land,277.4,"54,975",Freehold,08,-
N.A.,KOON SENG ROAD,Shop House,"4,180,000","1,574.77","2,654",Dec-24,Land,146.3,"28,571",Freehold,15,-
GEYLANG CONSERVATION AREA,LORONG 24A GEYLANG,Shop House,"3,510,000","1,582.31","2,218",Dec-24,Land,147,"23,878",Freehold,14,-
N.A.,EAST COAST ROAD,Shop House,"10,000,000","1,514.49","6,603",Dec-24,Land,140.7,"71,073",Freehold,15,-
SIN CHUAN GARDEN,WARINGIN PARK,Shop House,"1,950,000","1,442.38","1,352",Dec-24,Strata,134,"14,552",Freehold,14,-
BINJAI PARK,BINJAI PARK,Shop House,"3,850,000","1,334.74","2,884",Nov-24,Strata,124,"31,048",999 yrs lease commencing from 1875,21,-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"7,200,000","1,333.66","5,399",Nov-24,Land,123.9,"58,111",99 yrs lease commencing from 2000,02,-
N.A.,SIMS AVENUE,Shop House,"3,680,000","1,976.27","1,862",Nov-24,Land,183.6,"20,044",Freehold,14,-
LITTLE INDIA CONSERVATION AREA,DALHOUSIE LANE,Shop House,"2,800,000",899.87,"3,112",Nov-24,Land,83.6,"33,493",99 yrs lease commencing from 1994,08,-
PGP BUILDING,CAMPBELL LANE/DUNLOP STREET,Shop House,"25,700,000","4,728.63","5,435",Nov-24,Land,439.3,"58,502",Freehold,08,-
N.A.,BALESTIER ROAD,Shop House,"8,000,000","2,428.36","3,294",Nov-24,Land,225.6,"35,461",Freehold,12,-
PRINSEP PLACE,PRINSEP STREET,Shop House,"4,120,000","2,292.73","1,797",Nov-24,Strata,213,"19,343",99 yrs lease commencing from 1997,07,01 to 05
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"6,300,000","1,204.49","5,230",Nov-24,Land,111.9,"56,300",Freehold,08,-
BUKIT PASOH CONSERVATION AREA,CANTONMENT ROAD,Shop House,"11,000,000","1,298.14","8,474",Oct-24,Land,120.6,"91,211",Freehold,02,-
N.A.,BALESTIER ROAD,Shop House,"5,500,000","1,977.35","2,782",Oct-24,Land,183.7,"29,940",Freehold,12,-
N.A.,CHANDER ROAD,Shop House,"5,700,000","1,689.95","3,373",Oct-24,Strata,157,"36,306",Freehold,08,-
GREENDALE COURT,GREENDALE AVENUE,Shop House,"2,500,000",861.12,"2,903",Oct-24,Strata,80,"31,250",Freehold,11,-
N.A.,GEYLANG ROAD,Shop House,"14,600,000","2,566.14","5,689",Oct-24,Land,238.4,"61,242",Freehold,14,-
